text,sentiment
we remind ourselves that love means to be willing to give until it hurts - Mother Teresa ,1
"Life is #precious & so are babies, mothers, & fathers. Please support the sanctity of Human Life. Think #SemST ",1
If being in a mother's womb isn't safe I guess neither are churches; specifically black ones #WhoIsBurningBlackChurches #SemST ,1
@user  Rock on girl!  We all know #AbortionIsMurder.   #SemST ,1
it's ironic that ppl will perform lifesaving therapies on animals to preserve their lives-but have staunch views in favor of #SemST ,1
WH: Motherhood's a Wage Penalty. So we pay em to have kids & we pay em to kill premature babies. WTF's point here libs? #PJNET #SemST ,1
@user They abort millions of their possible progressives for the future. #Downfall #SemST ,1
"'Cursed be anyone who takes a bribe to shed innocent blood.' And all the people shall say, 'Amen.'  Deuteronomy 27:25 #dropsmic #SemST ",1
"Does a #pregnant #woman have 2 heads, 2 hearts, 4 arms, and 4 legs? #prolifeyouth #prolifegen #didntthinkso #SemST ",1
@user Pray?? You want me to PRAY that abortions and dangerous facilities remain unchecked?? #facepalm #SemST ,1
"How dare you say my sexual preference is a choice, how dare you say dismembering my preborn isn't. #liberalism #SemST ",1
"A pregnancy, planned or unplanned, brings spouses,families & everyone closer to each other. #Life is beautiful! #USA #SemST ",1
Thr r no rights w/o responsibilities. The rt 2 bodily autonomy comes w/ the responsibility 2 care 4 1's unborn child #ProLifeYouth #SemST ,1
#DonRients: people aren't just killed by guns.  9 people died and that's sad.  But how many die daily from #abortion? #SemST ,1
@user @user & yet Amnesty advocates child murder! #SemST ,1
"RT @user ""It seems to me clear as daylight that abortion would be a crime."" -Ghandi  #ProLifeYouth #SemST ",1
Even the #smallest #person can change the course of the #future.youthgen #SemST ,1
"We say God bless America but we kill 4,000 babies a year. #SemST ",1
@user He who wears the shoes knows where it hurts but I'm Pro-life. #TheReadClub #SemST ,1
"@user Now you are not even sense. And, once again, abortion is not healthcare. With every abortion at least one human lies. #SemST ",1
How can there be too many #children? That is like saying there are too many #flowers -Mother Teresa #prolifeyouth #SemST ,1
"@user @user At the same time, this decision ISN'T always a difficult one. Don't let #antichoice guilt-trip people. #SemST ",1
Since #roevwade 1/3 of my #generation has been #aborted. Where were their #rights?youthgen #SemST ,1
Agree choice if woman's life in danger.  But rape - does the baby deserve death for crime of his/her father? @user #SemST ,1
PRAYERS FOR BABIES Urgent prayer in Detroit MI ...two in San Diego CA&one in San Antonio  Life begins at conception  #SemST ,1
#ProLifeYouth know that life begins at conception. #SemST ,1
"@user I would consider this, to be dispersal of a chemical weapon, one that kills children. #SemST ",1
If you want #Equality then let ALL the babies live!! #SemST ,1
"Your body belongs to you. It doesn't belong to the church, the state or an embryo. #SemST ",1
Just owned a woman who works for planned parenthood. #factsonly #SemST ,1
coffee out the nose or down the windpipe... next time... we're going for out the nose #thoughtiwasgonnadie #SemST ,1
I had a word with some of the antiabortion protestors. Calmer after buying bi pride colour yarn for a friend & I. Haberdashery <3 #SemST ,1
abortion clinics... back alleys with a profit center and air conditioning?  #SemST ,1
@user  SinnFein voted to kill unborn sick children #SemST ,1
Demand the Senate vote to ban painful late-term abortions. Use your voice to help hold the Senate accountable. #bluemoon #SemST ,1
#ProLifeYouth know that human life in the womb is as valuable as human life outside the womb. #SemST ,1
"Because as long as we're ending innocent lives, love has won nothing. #SemST ",1
Rise & Shine its a new day & you're alive. Thank God 4 another day of precious life. #Christian #Catholic #TeamJesus ,1
The right to control one's body is not a license to kill.Youth #SemST ,1
They haven't eliminated #murder. They just call it by a different #name. #prolifeyouth #prolifegen #SemST ,1
@user forcing women to change their body's normal function is the epitome of controlling women. #SemST ,1
Don't see the big deal about all this #SemST ,1
@user @user @user @user Bad analogy. The current time frame for abortion is the best compromise  #SemST ,1
"We can be the generation that ends abortion. I don't care whose toes we step on or who we offend, it's time to put an end to #SemST ",1
.@RebeccahLouise I'm not forcing anyone to do anything. Abortion is not 'medical help' & there are better options. Very proud to be #SemST ,1
WORLDWIDE R.E. Agents! - Support a ProLife Group (U-choose) at NoCost ProLifeRealEstate@Yahoo.com #SemST ,1
Patient advocate Stephen Casey of Texas Center for Defense of Life strongly supports #HB3074. #TXlege #SemST ,1
"HOW COULD I DIE BEFORE EVEN I BORN,TO YOU I AM JUST TINY LITTLE THING THAT DOESN'T MATTER #SemST ",1
@user good riddance to millions of black babies? I really hope I'm misunderstanding you #SemST ,1
@user No Such Thing As An Unforced #ProlifeYouth #SemST ,1
Murdering an unborn child is the crudest form of contraception! #Catholic #Christian #Conservative #feminist #SemST ,1
If it isn't a #human life then why does @user have a problem with us?youth #itisahumanlife #SemST ,1
@user @user is a seven pound baby murderer. Too bad her Mom didn't have the same operation. #Baby #Democrats #Losers #SemST ,1
"Jesus loves the children of the world, the born and the unborn.Youth #SemST ",1
"because it is settled that [abortion] is constitutional, it necessarily follows that there must be a means of carrying it out. #SemST ",1
"@user And I explained that they are in the keep your baby business, as they helped me get Medicaid and WIC. #SemST ",1
"If men could get pregnant, abortion clinics would be like Starbucks #SemST ",1
@user if every child matters regardless of skin color? why do we as a nation continuously keep aborting them? #AllLivesMatter #SemST ,1
"Hillary wants to be a champion for women, unless they're unborn.  #SemST ",1
"When you abort a baby, you don't just abort one person ...you abort generations. #SemST ",1
" Mary, Help of Christians persecuted everywhere, pray for us!  #HolyLove #UnitedHearts #MaranathaSnS #profamily #1m1w #marriage #SemST ",1
All of this has nothing to do w providing medical care - @user on TRAP regulations #scraptrap #SemST ,1
A nation that kills it's own children is a nation without hope. -Pope Saint John Paul II #ProLifeYouth #AllLivesMatter #SemST ,1
#POTUS seals his legacy w/ 1/2 doz wins. The #GOP agenda? STILL!! Repeal #Gun laws & #Obamacare Ban Access 2 #TotalLosers #NoIdeas #SemST ,1
A woman who deliberately destroys a fetus is answerable for murder.-St. Basil the Great #SemST ,1
Never during a pregnancy does a pregnant person's body cease being their own. Support bodily autonomy. Be #SemST ,1
#SCOTUS blocking part of our Texas Anti-Abortion law.  Maybe we should call them the Supreme Tyrant.  #tcot #tgdn #SemST ,1
@user @user @user Abortion Workers Charged with Manslaughter After Another Woman Dies From #SemST ,1
Let's agree that it's not ok to kill a 7lbs baby in the uterus @user #DNC #Clinton2016 @user #ProCompromise #SemST ,1
@user because that 9% utilized that wonderful gift of choice (#proChoice). #SemST ,1
I am 1 in 3... I have had an abortion #AbortionOnDemand #MenstruationMatters #SemST ,1
"If Doctors used guns to perform abortions, would liberals then be opposed? #2A #liberallogic #SemST ",1
"Life Fact: At just 9 weeks into a pregnancy, a baby begins to sigh and yawn. #LifeFact #SemST ",1
RT @user Children are the greatest blessing which God has bestowed on man and woman. -Pope Francis #SemST ,1
Pro-Choice is meaningless. Say what you mean. You stand for the right to choose to kill. #SemST ,1
"Size,Level of development, Environment,Degree of dependency do not affect a human's value. . A fetus is a human being #ProLifeYouth #SemST ",1
I'll always put all my focus and energy toward keeping people alive instead of deciding who gets to marry. #SemST ,1
Pro-Life Legislative Day Party in Lansing today! See y'all there! #sopumpedgen #SemST ,1
Children are the greatest blessing which God has bestowed on man and woman. -Pope Francis #LifeisaGift #SemST ,1
Okay so how about declaring and protecting equality for the unborn now? #SCOTUS #Murder #SemST ,1
"True equality"" allows all to be born. #SemST ",1
@user Don't you mean to say (all children deserve the same chances) except the UNBORN CHILDREN?     #SemST ,1
"People go nuts on the #Onepercent, yet their fine with 0.0000023% of the population deciding their fate on #obamacare, #marriage, #SemST ",1
@user I have no problem with birth control but their you go with that free thing again. So your solution is murder good idea #SemST ,1
"Now that the govt and The Supremes have saved the gays, maybe they will save the babies next. #SemST ",1
@user  its morally wrong. Life is sacred and only the giver and its onlyHim alone that should take it#HaveYourSay is on #SemST ,1
It should never ever be legal to have an abortion because murder is wrong & #AbortionIsMurder not #healthcare . We Must . #SemST ,1
Why is it illegal to kill an unhatched eagle egg but its legal to kill an unborn human baby?isright ,1
"RT @user NEW video: ""I'm not seeing it as a human being."" @user @user @user @user #prolife... #SemST ",1
"@user Typo - I meant to say ""dies"" - With every abortion @ least one human dies. #SemST ",1
"@user whoa whoa whoa. I don't care about you having sex, but when you're pregnant, there's another life involved. ",1
@user @user @user Very important to #PrayTheRosary to #PrayforthePersecutedChurch & to #SemST ,1
I really don't understand how some people are Pro-Choice. A life is a life no matter if it's 2 weeks old or 20 years old. #SemST ,1
When you bring up the 50 million black babies aborted in the past 30 years people get offended... #SemST ,1
Abortion IS NOT a political issue it is a MORAL issue. #Catholic #Christian #Conservative #SemST ,1
If your agonist abortion get a vasectomy  #SemST ,1
Please join us as we pray to end the global holocaust of abortion! #SemST ,1
It is a poverty to decided that a child must die so that you may live as you wish. -Mother Teresa #SemST ,1
Abortion laws should be designed to make it harder to get an abortion. Abortion is murder! #SemST ,1
"During an abortion, something alive must become dead to be considered a successful abortion...  #p2 #tcot #ChooseLife #Choice #SemST ",1
So can unborn children have rights now? #SemST ,1
So mint!  Listening to @user LIVE & he s talking about #MargaretSanger being total Evil. Even if you're pro-#Abortion! #SemST ,1
